,Departments,x,y
0,Amazonas,42.0,-154.0
1,Antioquia,-93.0,59.0
2,Arauca,37.0,72.0
3,Atlántico,-90.0,175.0
4,Bolívar,-62.0,115.0
5,Boyacá,-18.0,35.0
6,Caldas,-83.0,24.0
7,Caquetá,-40.0,-108.0
8,Casanare,17.0,30.0
9,Cauca,-124.0,-67.0
10,Cesar,-43.0,154.0
11,Chocó,-132.0,23.0
12,Córdoba,-108.0,101.0
13,Cundinamarca,-49.0,11.0
14,Guainía,103.0,-31.0
15,Guaviare,15.0,-63.0
16,Huila,-83.0,-52.0
17,La Guajira,-30.0,198.0
18,Magdalena,-68.0,163.0
19,Meta,-23.0,-29.0
20,Nariño,-161.0,-98.0
21,Norte de Santander,-20.0,114.0
22,Putumayo,-89.0,-116.0
23,Quindío,-94.0,-4.0
24,Risaralda,-105.0,16.0
25,San Andrés y Providencia,-190.0,234.0
26,Santander,-37.0,69.0
27,Sucre,-84.0,124.0
28,Tolima,-83.0,-19.0
29,Valle del Cauca,-125.0,-32.0
30,Vaupés,64.0,-96.0
31,Vichada,81.0,31.0
